Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
2015-01-21 01:49:46,2015-01-21 07:20:03,65%,5:30,,,,1112
2015-01-21 23:55:29,2015-01-22 06:15:18,73%,6:19,,,,1871
2015-01-22 23:02:43,2015-01-23 06:12:41,81%,7:09,,,,1010
2015-01-25 22:48:04,2015-01-26 06:15:23,79%,7:27,,,,2178
2015-01-27 00:14:14,2015-01-27 06:14:29,56%,6:00,,,,1440
2015-01-28 00:03:23,2015-01-28 06:15:40,65%,6:12,,,,1985
2015-01-28 23:38:34,2015-01-29 06:15:16,72%,6:36,,,,1498
2015-01-30 00:07:55,2015-01-30 06:08:24,66%,6:00,,,,1459
2015-01-31 22:41:35,2015-02-01 09:50:19,98%,11:08,,,,1349
2015-02-02 00:03:43,2015-02-02 06:15:17,67%,6:11,,,,1373
2015-02-02 22:33:50,2015-02-03 06:14:37,86%,7:40,,,,1760
2015-02-03 21:58:34,2015-02-04 06:06:49,61%,8:08,,,,2249
2015-02-04 23:41:06,2015-02-05 06:15:05,71%,6:33,,,,1401
2015-02-05 22:36:12,2015-02-06 06:14:37,83%,7:38,,,,1721
2015-02-06 23:39:10,2015-02-07 06:15:15,69%,6:36,,,,1125
2015-02-07 23:34:11,2015-02-08 09:09:23,100%,9:35,,,,1622
2015-02-08 21:22:49,2015-02-09 06:14:27,92%,8:51,,,,2022
2015-02-09 23:37:34,2015-02-10 06:15:25,69%,6:37,,,,2073
2015-02-10 22:07:50,2015-02-11 06:14:37,94%,8:06,,,,2085
2015-02-12 02:40:31,2015-02-12 06:04:22,39%,3:23,,,,1880
2015-02-16 21:30:26,2015-02-17 06:20:44,95%,8:50,,,,3952
2015-02-18 01:14:33,2015-02-18 06:12:15,52%,4:57,,,,1038
2015-02-18 22:28:33,2015-02-19 06:15:49,87%,7:47,,,,2025
2015-02-19 22:13:24,2015-02-20 06:15:40,91%,8:02,,,,1069
2015-02-21 00:07:46,2015-02-21 06:15:33,68%,6:07,,,,1658
2015-02-21 23:31:56,2015-02-22 08:23:50,87%,8:51,,,,1336
2015-02-22 21:29:32,2015-02-23 06:14:27,86%,8:44,,,,3996
2015-02-23 22:55:35,2015-02-24 06:04:43,66%,7:09,,,,1874
2015-02-24 23:42:20,2015-02-25 06:14:00,75%,6:31,,,,1654
2015-02-26 04:01:44,2015-02-26 06:13:01,18%,2:11,,,,1450
2015-02-27 00:22:58,2015-02-27 06:00:02,67%,5:37,,,,2361
2015-02-27 22:15:21,2015-02-28 06:07:25,86%,7:52,,,,1075
2015-03-01 00:02:18,2015-03-01 09:35:20,82%,9:33,,,,591
2015-03-01 22:02:57,2015-03-02 06:14:27,63%,8:11,,,,1069
2015-03-02 21:44:03,2015-03-03 06:14:34,90%,8:30,,,,3125
2015-03-03 23:08:45,2015-03-04 06:15:02,81%,7:06,,,,1861
2015-03-04 23:11:21,2015-03-05 06:14:35,44%,7:03,,,,1180
